,title,price,Desc
381,Suzuki Alto 2015,"Rs 3,150,000","Galle, "
382,Suzuki Alto 2007,"Rs 2,000,000","Kurunegala, "
383,Maruti Suzuki Alto Japan 2017,"Rs 4,300,000","Colombo, "
384,Suzuki Alto 2016,"Rs 2,900,000","Colombo, "
385,Suzuki Alto Japan 2017,"Rs 3,800,000","Colombo, "
386,Suzuki Alto 2017,"Rs 3,250,000","Colombo, "
387,Suzuki Alto Japan 2015,"Rs 4,650,000","Kegalle, "
388,Suzuki Alto LXI 2012,"Rs 2,425,000","Vavuniya, "
389,Suzuki Alto 800 2014,"Rs 2,700,000","Colombo, "
390,Suzuki Alto 2015,"Rs 2,800,000","Jaffna, "
391,Suzuki Alto k10 2012,"Rs 2,750,000","Kalutara, "
392,Suzuki Alto K10 VXI 2011,"Rs 2,700,000","Gampaha, "
393,Suzuki Alto 1998,"Rs 1,650,000","Batticaloa, "
394,Suzuki Alto 2007,"Rs 2,300,000","Colombo, "
395,Suzuki Alto JAPAN ANDROID 2017,"Rs 4,500,000","Colombo, "
396,Suzuki Alto 2015,"Rs 2,985,000","Kalutara, "
397,Suzuki Alto 2015,"Rs 3,050,000","Gampaha, "
398,Suzuki Alto xli 2011,"Rs 2,285,000","Matara, "
